Comment Date,Comment
"Jun 20, 2013, 2:47:21 PM","Dit was toevallig wel een hardlooprondje. Het klopt overigens dat er nog wel een aantal activitities zijn die nog op fietsen gezet moeten worden. Ik heb gisteravond een paar honderd activiteiten vanuit Garmin Connect geïmporteerd, maar dan raak je kwijt dat het om een fietsactiviteit gaat."
"Jun 30, 2013, 7:33:11 PM","Effe lekker uitgefietst, wel PR op de munnikensteeg "
"Jul 2, 2013, 11:23:01 AM",Hartslag 215 :-) Dat ga ik op mijn leeftijd niet meer halen :-)
"Jul 20, 2013, 4:02:12 PM","Thanks, goeie tip. Hoe meer statistieken hoe beter :-)"
"Sep 17, 2013, 2:52:43 PM","Het was wel het zwaarste war ik ooit heb gedaan, al die waarschuwingsbordjes warer nu wel terecht :-). Het is net of je door een sauna aan het rennen bent."
"Sep 18, 2013, 3:55:30 PM","Wel wat stijfjes gisteren, vandaag nog even rust en dan morgen klein stukje uitlopen. Die sufferscore was het wel waard hoor, het is echt een bijzondere ervaring om daar te lopen, die nergens mee te vergelijken is."
"Dec 1, 2013, 7:29:57 PM","Beetje de snelheid afgewisseld, moet soms om sneller te worden. Jij hebt ook een flink stuk gelopen zie ik."
"Mar 9, 2014, 11:11:40 AM",Dit is sneller dan de snelste marathonloper :-)
"Mar 9, 2014, 11:14:18 AM",Dit is op de fiets
"Mar 10, 2014, 8:04:34 PM",fiets
"Mar 22, 2014, 7:15:45 AM",Bad GPS data
"Apr 3, 2014, 7:53:23 PM",Wrong activity type
"Apr 16, 2014, 3:53:13 PM",Lunch run klinkt toch een beetje oneerbiedig voor een route met 472 hoogtemeters :-)
"Apr 27, 2014, 6:49:04 AM",Thanks! Het was toch wel wat te glad door de regen om van de weg af te gaan naar boven. Dus nu de touristische ronde door Edinburg gedaan :-)
"May 31, 2014, 11:08:23 AM",triggered by effort 3383090291 on segment 5230180
"Jun 2, 2014, 7:15:10 PM",triggered by effort 3413434098 on segment 2730355
