Category,Flagged Type,Flagged ID,Comments,Created At
Wrong activity type,Activity,61182172,"","Sep 25, 2013, 1:24:33 PM"
Wrong activity type,Activity,67230204,"","Sep 25, 2013, 1:29:28 PM"
Wrong activity type,Activity,90694976,"","Oct 23, 2013, 5:57:59 AM"
Wrong activity type,Activity,90695008,"","Jan 26, 2014, 7:01:48 PM"
Wrong activity type,Activity,76687670,Dit is sneller dan de snelste marathonloper :-),"Mar 9, 2014, 11:11:40 AM"
Wrong activity type,Activity,85667999,Dit is op de fiets,"Mar 9, 2014, 11:14:18 AM"
Wrong activity type,Activity,76687680,fiets,"Mar 10, 2014, 8:04:34 PM"
Bad GPS data,Activity,98990643,Bad GPS data,"Mar 22, 2014, 7:15:45 AM"
Wrong activity type,Activity,126480517,Wrong activity type,"Apr 3, 2014, 7:53:23 PM"
Wrong activity type,Activity,182400598,Wrong activity type,"Aug 19, 2014, 4:48:04 PM"
Wrong activity type,Activity,136699201,Wrong activity type,"Aug 21, 2014, 4:40:45 PM"
Wrong activity type,Activity,188229800,Wrong activity type,"Sep 2, 2014, 6:13:32 AM"
Bad GPS data,Activity,197710704,Impossible speed,"Sep 28, 2014, 6:18:56 AM"
Wrong activity type,Activity,200667717,Wrong activity type,"Sep 28, 2014, 6:37:47 PM"
Wrong activity type,Activity,129383263,Wrong activity type,"Oct 12, 2014, 2:20:08 PM"
Wrong activity type,Activity,190198729,Wrong activity type,"Oct 12, 2014, 2:22:32 PM"
Wrong activity type,Activity,285782531,Verkeerd activiteitstype,"Apr 15, 2015, 4:56:33 PM"
Wrong activity type,Activity,283870097,Verkeerd activiteitstype,"May 3, 2015, 10:18:39 AM"
Wrong activity type,Activity,319999272,Verkeerd activiteitstype,"Jun 8, 2015, 2:52:51 AM"
Wrong activity type,Activity,326523708,Verkeerd activiteitstype,"Jun 16, 2015, 3:36:38 PM"
Wrong activity type,Activity,325179013,Verkeerd activiteitstype,"Jun 24, 2015, 8:37:26 PM"
Wrong activity type,Activity,350338252,Verkeerd activiteitstype,"Jul 21, 2015, 11:25:40 AM"
Wrong activity type,Activity,370015257,Verkeerd activiteitstype,"Aug 16, 2015, 10:34:57 AM"
Wrong activity type,Activity,386851927,Verkeerd activiteitstype,"Sep 7, 2015, 3:33:26 PM"
Bad GPS data,Activity,617640484,Slechte GPS-gegevens,"Jun 24, 2016, 6:22:44 AM"
Wrong activity type,Activity,670011469,Verkeerd activiteitstype,"Aug 20, 2016, 2:43:48 PM"
Wrong activity type,Activity,419854782,Verkeerd activiteitstype,"Dec 25, 2016, 1:16:52 PM"
Wrong activity type,Activity,424394738,Verkeerd activiteitstype,"Dec 25, 2016, 1:17:25 PM"
Wrong activity type,Activity,726482054,Verkeerd activiteitstype,"Dec 25, 2016, 1:17:55 PM"
Bad GPS data,Activity,750359287,Slechte GPS-gegevens,"Dec 25, 2016, 1:21:33 PM"
Wrong activity type,Activity,564071461,Verkeerd activiteitstype,"Dec 25, 2016, 1:23:25 PM"
Wrong activity type,Activity,937540993,Verkeerd activiteitstype,"Apr 11, 2017, 3:00:05 PM"
Bad GPS data,Activity,7158653552,"","May 17, 2022, 5:37:14 PM"
Bad GPS data,Activity,8000212492,"","Oct 22, 2022, 8:39:04 AM"
Bad GPS data,Activity,8365434390,"","Jan 9, 2023, 8:14:13 PM"
Bad GPS data,Activity,497647030,"","May 15, 2025, 1:15:40 PM"
Bad GPS data,Activity,61746758,"","May 15, 2025, 2:43:07 PM"
Bad GPS data,Activity,61746719,"","May 16, 2025, 11:43:27 AM"
This activity has been flagged for high average speed,Activity,16402299194,"","Nov 9, 2025, 10:39:06 AM"
This activity has been flagged for high average speed,Activity,16402299246,"","Nov 9, 2025, 10:39:06 AM"
This activity has been flagged for high average speed,Activity,8965304047,"","Dec 4, 2025, 11:25:03 PM"
This activity has been flagged for high average speed,Activity,66721068,"","Dec 10, 2025, 7:13:02 AM"
This activity has been flagged for high average speed,Activity,61745673,"","Dec 13, 2025, 10:08:25 PM"
This activity has been flagged for high average speed,Activity,7290245886,"","Dec 15, 2025, 6:37:52 AM"
This activity has been flagged for high average speed,Activity,62087406,"","Dec 16, 2025, 5:25:19 AM"
This activity has been flagged for high average speed,Activity,8950117260,"","Dec 22, 2025, 8:51:41 PM"
