Follower Athlete ID,Follow Status,Favorite Status
201285962,Pending,""
46810822,Accepted,""
115503849,Accepted,""
180555830,Pending,""
8936377,Accepted,""
13961587,Accepted,""
123779810,Accepted,""
158551489,Accepted,""
127463850,Accepted,""
128764874,Accepted,""
120717331,Accepted,Subscribed to Activity Notifications on Upload
25820102,Accepted,""
97037121,Accepted,""
383710,Accepted,""
7828001,Accepted,""
110943565,Accepted,""
27570398,Accepted,""
5225532,Accepted,""
59435461,Accepted,""
57339225,Accepted,""
4314302,Accepted,""
24594498,Accepted,""
574745,Accepted,""
4025055,Accepted,""
74172307,Accepted,""
31007052,Accepted,""
9372784,Accepted,""
43446673,Accepted,""
46544964,Accepted,""
30920649,Accepted,""
45335452,Accepted,""
6826344,Accepted,""
44799650,Accepted,""
39525585,Accepted,""
9435311,Accepted,""
15118899,Accepted,""
2401694,Accepted,""
37928105,Accepted,""
12978838,Accepted,""
23320185,Accepted,""
27934528,Accepted,""
17430766,Accepted,""
19640356,Accepted,""
2753077,Accepted,""
7228653,Accepted,""
8505821,Accepted,""
4799706,Accepted,""
14102945,Accepted,""
13547525,Accepted,""
5246181,Accepted,""
11314774,Accepted,""
8805399,Accepted,""
9768920,Accepted,""
2658361,Accepted,""
9144433,Accepted,""
1556467,Accepted,""
8538515,Accepted,""
2564215,Accepted,""
5247237,Accepted,""
1323879,Accepted,""
4841208,Accepted,""
1633327,Accepted,""
2550715,Accepted,""
2466513,Accepted,""
2159783,Accepted,""
