Join Date,Name,Completed
"Oct 20, 2013, 6:18:42 PM",Turn Up the Heat,true
"Nov 2, 2013, 2:00:53 PM",Find Your Way,true
"Nov 30, 2013, 10:40:26 AM",The Anchor,true
"Dec 28, 2013, 11:06:22 AM",20 + 13,true
"Dec 31, 2013, 11:09:36 AM",Prove It - Run,true
"Feb 1, 2014, 9:09:10 AM",February MTS,true
"Mar 2, 2014, 10:02:36 AM",March MTS,true
"Apr 1, 2014, 7:11:48 PM",April MTS,true
"May 1, 2014, 12:22:43 PM",May MTS,true
"May 1, 2014, 12:24:06 PM",Strava Races 10k,true
"Jun 1, 2014, 8:35:08 AM",June MTS,true
"Jun 30, 2014, 6:35:29 PM",July MTS,false
"Aug 2, 2014, 9:32:09 AM",August MTS,true
"Aug 2, 2014, 9:33:19 AM",Strava Races 10k,true
"Sep 8, 2014, 10:10:44 AM",September MTS,true
"Sep 30, 2014, 7:39:50 PM",October MTS,false
"Nov 1, 2014, 12:10:43 PM",November MTS,true
"Dec 27, 2014, 2:49:13 PM",December MTS,true
"Jan 1, 2015, 6:04:50 PM",January MTS,true
"Feb 20, 2015, 7:18:44 AM",February MTS,true
"Mar 1, 2015, 10:23:18 AM",March MTS,true
"Apr 7, 2015, 6:19:05 PM",April MTS,true
"May 2, 2015, 11:17:18 AM",May MTS,true
"May 2, 2015, 11:17:48 AM",Dipsea Climbing Challenge,false
"Jul 4, 2015, 3:57:06 PM",July MTS,true
"Aug 7, 2015, 8:38:54 PM",August MTS,true
"Aug 7, 2015, 8:39:24 PM",The Ultra-Trail du Mont-Blanc Climbing Challenge,false
"Sep 26, 2015, 10:22:28 AM",September MTS,true
"Oct 1, 2015, 8:54:51 PM",October MTS,true
"Dec 15, 2015, 8:35:47 PM",December MTS,true
"Jan 3, 2016, 6:26:14 PM",January Distance Challenge,true
"Feb 16, 2016, 8:21:22 PM",February Distance Challenge,true
"Feb 16, 2016, 8:21:34 PM",February Run Climbing Challenge,true
"Mar 13, 2016, 10:29:36 AM",March Run Climbing Challenge,true
"Mar 13, 2016, 10:29:40 AM",New Balance Spring Distance Challenge,true
"Mar 13, 2016, 10:29:50 AM",March Distance Challenge,true
"Mar 27, 2016, 9:38:59 AM",April Distance Challenge,true
"Mar 27, 2016, 9:39:04 AM",April Run Climbing Challenge,true
"Apr 28, 2016, 6:37:51 PM",#EverestNoFilter Run Climbing Challenge,true
"Apr 28, 2016, 6:37:55 PM",May Distance Challenge,true
"Jan 7, 2017, 3:19:37 PM",January Run Climbing Challenge,true
"Jan 31, 2017, 7:50:24 PM",January Running Distance Challenge,true
"Jan 31, 2017, 7:50:35 PM",February Run Climbing Challenge,false
"Jan 31, 2017, 7:50:45 PM",February Running Distance Challenge,true
"Mar 4, 2017, 9:19:13 AM",March Running Distance Challenge,true
"Mar 4, 2017, 9:19:24 AM",March Run Climbing Challenge,true
"Jan 17, 2018, 8:38:07 PM",January Running Distance Challenge,true
"Jan 17, 2018, 8:38:08 PM",January Run Climbing Challenge,true
"Feb 4, 2018, 6:31:59 PM",February Run Climbing Challenge,true
"Feb 4, 2018, 6:31:59 PM",February Running Distance Challenge,true
"Apr 13, 2025, 2:09:36 PM",The Last of Us Run | HBO Max - Marathon Rotterdam,true
