Reaction Date,Reaction Type,Parent Type,Parent ID
"Jun 23, 2013, 11:55:40 AM",Kudos,Activity,61125115
"Jul 2, 2013, 11:22:16 AM",Kudos,Activity,64203492
"Jan 12, 2014, 12:37:11 PM",Kudos,Activity,105734788
"May 31, 2014, 11:28:40 AM",Kudos,Activity,147577816
"Jun 8, 2014, 6:01:22 AM",Kudos,Activity,150565191
"Jul 1, 2014, 7:35:56 PM",Kudos,Activity,160367577
"Jul 4, 2014, 8:05:59 PM",Kudos,Activity,161735787
"Aug 26, 2014, 7:38:58 PM",Kudos,Activity,185717115
"Sep 8, 2014, 7:37:28 PM",Kudos,Activity,92217911
"Sep 28, 2014, 6:38:08 PM",Kudos,Activity,200182176
"Nov 12, 2014, 1:16:33 AM",Kudos,Activity,217990787
"May 2, 2015, 11:02:21 AM",Kudos,Activity,296467181
"Nov 4, 2015, 11:54:42 AM",Kudos,Activity,426164905
"May 1, 2016, 11:08:27 AM",Kudos,Activity,561659777
"May 2, 2016, 11:48:21 AM",Kudos,Activity,562083620
"May 12, 2016, 11:37:44 AM",Kudos,Activity,568345934
"May 23, 2016, 6:59:23 PM",Kudos,Activity,583934820
"May 27, 2016, 4:17:02 PM",Kudos,Activity,589705092
"May 27, 2016, 4:17:04 PM",Kudos,Activity,589756274
"May 27, 2016, 4:17:06 PM",Kudos,Activity,589741227
"Jun 12, 2016, 3:13:44 PM",Kudos,Activity,606824619
"Jul 3, 2016, 11:56:29 AM",Kudos,Activity,628334509
"Jul 7, 2016, 6:58:51 PM",Kudos,Activity,633346275
"Jul 17, 2016, 1:57:07 PM",Kudos,Activity,643573290
"Jul 28, 2016, 8:25:34 PM",Kudos,Activity,656667309
"Aug 6, 2016, 4:20:44 PM",Kudos,Activity,666658202
"Aug 6, 2016, 4:20:55 PM",Kudos,Activity,666226858
"Aug 16, 2016, 7:29:29 PM",Kudos,Activity,678368337
"Aug 21, 2016, 1:59:55 PM",Kudos,Activity,683468097
"Aug 28, 2016, 9:25:25 AM",Kudos,Activity,691638405
"Sep 25, 2016, 1:36:59 PM",Kudos,Activity,724157012
"Oct 16, 2016, 9:46:32 AM",Kudos,Activity,746129298
